Total Contract Spending Trend,,,,,,,,,,Yearly Spending Trend & Annual Contract Volume,,,,
"Insights: Shows which departments consume the largest share of public funds, helping identify budget concentration.",,,,,,,,,,"Insight: Displays growth or decline in government spending over time and shows contract activity level, ensuring spending trends are not misinterpreted and useful for budget forecasting",,,,
,,,,,,,,,,,,,,
Department,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,,,,,,,Start Date Year,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,
DEPARTMENT OF HOUSING,"$46,806,676",169,,,,,,,,2022,"$3,331,748,517",2770,,
DEPARTMENT OF HUMAN RESOURCES,"$35,772,761",32,,,,,,,,2023,"$9,666,869,358",2339,,
FINANCE GENERAL,"$33,000,000",1,,,,,,,,2024,"$5,357,993,850",1467,,
DEPARTMENT OF PROCUREMENT SERVICES,"$25,242,126",23,,,,,,,,2025,"$3,267,524,325",715,,
DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,"$20,586,858",125,,,,,,,,2026,"$240,879,774",24,,
DEPARTMENT OF LAW,"$13,365,610",15,,,,,,,,Grand Total,"$31,559,817,466",10000,,
O'HARE MODERNIZATION PROGRAM,"$9,474,325",24,,,,,,,,,,,,
DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,"$9,032,914",100,,,,,,,,,,,,
CHICAGO PUBLIC LIBRARY,"$8,316,554",25,,,,,,,,,,,,
OFFICE OF CITY CLERK,"$3,615,849",8,,,,,,,,,,,,
DEPT OF BUSINESS & INFORMATION SERVICES,"$3,361,272",1,,,,,,,,,,,,
DEPARTMENT OF SPECIAL EVENTS,"$2,499,124",3,,,,,,,,,,,,
PLANNING & DEVELOPMENT,"$2,300,000",10,,,,,,,,,,,,
CITY TREASURER'S OFFICE,"$961,900",13,,,,,,,,,,,,
OFFICE OF THE MAYOR,"$949,000",8,,,,,,,,,,,,
CHICAGO ANIMAL CARE AND CONTROL,"$505,600",3,,,,,,,,,,,,
DEPARTMENT OF ENVIRONMENT,"$349,802",1,,,,,,,,,,,,
MAYORS OFFICE FOR PEOPLE WITH DISABILITIES,"$300,000",2,,,,,,,,,,,,
OFFICE OF INSPECTOR GENERAL,"$99,724",1,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE HEARINGS,"$83,688",1,,,,,,,,,,,,
CHICAGO COMMISSION ON HUMAN RELATIONS,"$17,995",1,,,,,,,,,,,,
DEPT OF LAW,$0,28,,,,,,,,,,,,
DEPT OF WATER,"-$380,673",1,,,,,,,,,,,,
Grand Total,"$31,559,817,466",10000,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Contracts by Procurement Type,,,,,,,,,,Contract Duration by Value Category,,,,
"Insight: Reveals the most frequently used procurement methods, indicating policy preference and transparency level.",,,,,,,,,,"Insight: Indicates whether high-value contracts run longer, helping evaluate operational planning efficiency.",,,,
,,,,,,,,,,,,,,
Procurement Type,COUNTA of Purchase Order (Contract) Number,,,,,,,,,Award_Category,AVERAGE of Contract_Duration_Days,,,
UNKNOWN,5482,,,,,,,,,Depends Upon Requirements,2079.430399,,,
BID,1585,,,,,,,,,Large,2092.789762,,,
RFP,1495,,,,,,,,,Medium,1214.442843,,,
MASTER AGREEMENT,903,,,,,,,,,Negative Modification,81.275,,,
RFQ,233,,,,,,,,,Small,590.8510035,,,
SOLE SOURCE,83,,,,,,,,,,,,,
JOINT PURCHASE,79,,,,,,,,,,,,,
REFERENCE CONTRACT,59,,,,,,,,,,,,,
CONTRACT ASSIGNMENT/TRANS,40,,,,,,,,,,,,,
CONTRACT ASSIGNMENT/TRANSFER,31,,,,,,,,,,,,,
INNOVATIVE PROCUREMENT,5,,,,,,,,,,,,,
TASK ORDER,2,,,,,,,,,,,,,
RFI,1,,,,,,,,,,,,,
NON-DPS,1,,,,,,,,,,,,,
EMERGENCY,1,,,,,,,,,,,,,
Grand Total,10000,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Top 10 Vendors by Spending,,,,,,,,,,Department-wise Approval Delay,,,,
Insight: Highlights vendor dependency risk and identifies suppliers receiving maximum city funding.,,,,,,,,,,"Insight: Identifies departments with slow approval processes, highlighting administrative inefficiencies.",,,,
,,,,,,,,,,,,,,
Vendor_Key,SUM of Award Amount,,,,,,,,,Department,AVERAGE of Approval_Delay_Days,,,
BLUE CROSS & BLUE SHIELD|31348884T,"$4,975,012,229",,,,,,,,,DEPT OF FLEET MGMT,4681.144578,,,
"AECOM HUNT / CLAYCO, A JOINT VENTURE|103928277L","$2,082,115,154",,,,,,,,,DEPARTMENT OF SPECIAL EVENTS,4258,,,
"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC|94387210X","$1,055,783,948",,,,,,,,,DEPARTMENT OF REVENUE,3430.818182,,,
PAN-OCEANIC ENGINEERING CO INC|95584874P,"$493,964,494",,,,,,,,,DEPT OF LAW,2935.214286,,,
CONSTELLATION NEWENERGY INC|102587162A,"$422,200,000",,,,,,,,,DEPT OF BUSINESS & INFORMATION SERVICES,2560,,,
CARUS CORP.|105463487L,"$388,013,360",,,,,,,,,DEPARTMENT OF LAW,2420.8,,,
BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV|42441106P,"$350,856,246",,,,,,,,,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,2322.395833,,,
SDI PRESENCE LLC|105460379T,"$321,233,547",,,,,,,,,DEPT OF INNOVATION & TECHNOLOGY,2263.241379,,,
GENUINE PARTS COMPANY|95154886A,"$309,531,117",,,,,,,,,CHICAGO PUBLIC LIBRARY,2221.56,,,
PACIFIC CONSTRUCTION SERVICES LLC|105503852H,"$300,000,000",,,,,,,,,CHICAGO FIRE DEPARTMENT,2119.645161,,,
"FAVORITE HEALTHCARE STAFFING, INC.|10563047","$293,716,737",,,,,,,,,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,2111.262548,,,
TURNER PASCHEN AVIATION PARTNERS|105458932H,"$283,409,494",,,,,,,,,DEPARTMENT OF FINANCE,1907.352381,,,
CAREMARK INC|93683847M,"$252,000,000",,,,,,,,,PLANNING & DEVELOPMENT,1881.5,,,
CLARK-W.E. ONEIL JV|105509260X,"$250,000,000",,,,,,,,,DEPARTMENT OF PROCUREMENT SERVICES,1697.086957,,,
"ANCHOR MECHANICAL, INC|95091968X","$241,244,500",,,,,,,,,CHICAGO DEPARTMENT OF AVIATION,1623.218421,,,
CATALYST CONSULTING GROUP INC|87094261T,"$234,545,594",,,,,,,,,DEPT OF ASSETS INFORMATION AND SERVICES,1589.217573,,,
CLARITY PARTNERS LLC|105469171M,"$230,501,005",,,,,,,,,DEPARTMENT OF BUILDINGS,1556.55102,,,
ROBE INC.|10197200,"$225,000,000",,,,,,,,,CHICAGO POLICE DEPARTMENT,1339.528302,,,
PAUL BORG CONSTRUCTION COMPANY INC|14813016P,"$225,000,000",,,,,,,,,DEPARTMENT OF WATER MANAGEMENT,1296.812715,,,
"LEOPARDO COMPANIES, INC|102693052H","$225,000,000",,,,,,,,,DEPARTMENT OF TECHNOLOGY AND INNOVATION,1107.21,,,
GRIGGS MITCHELL & ALMA OF IL LLC DBA GMA CONSTRUCTION GROUP|10553653,"$225,000,000",,,,,,,,,DEPARTMENT OF STREETS AND SANITATION,1053.45,,,
CONSTRUCTION INC|10615237,"$225,000,000",,,,,,,,,CHICAGO DEPARTMENT OF TRANSPORTATION,956.9186441,,,
RELIABLE CONTRACTING & EQUIPMENT COMPANY|105468043V,"$215,616,612",,,,,,,,,DEPARTMENT OF HUMAN RESOURCES,862.09375,,,
"OPEN KITCHENS, INC.|105458663T","$207,963,774",,,,,,,,,DEPARTMENT OF PLANNING AND DEVELOPMENT,840.0362225,,,
"SUMIT CONSTRUCTION CO., INC.|21973746A","$192,947,237",,,,,,,,,DEPARTMENT OF HOUSING,599.4378698,,,
JOHN BURNS CONSTRUCTION CO.|21972025E,"$180,525,849",,,,,,,,,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,579.7924092,,,
"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC|102903767L","$175,935,799",,,,,,,,,CHICAGO DEPARTMENT OF PUBLIC HEALTH,545.8054863,,,
"CDW GOVERNMENT, LLC.|95137059T","$174,250,000",,,,,,,,,OFFICE OF CITY CLERK,309,,,
"KRASAN CONSULTING SERVICES, INC|105454793P","$170,000,000",,,,,,,,,O'HARE MODERNIZATION PROGRAM,292.5,,,
"MCDONAGH DEMOLITION, INC.|95358461T","$169,383,287",,,,,,,,,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,276.3126745,,,
AECOM-DBS|10603453,"$164,288,975",,,,,,,,,OFFICE OF THE MAYOR,219,,,
"MAT CONSTRUCTION LEASING, INC.|61324337H","$162,624,342",,,,,,,,,UNKNOWN,212.8490566,,,
"T & N CHICAGO, INC.|105510172M","$157,489,590",,,,,,,,,CHICAGO ANIMAL CARE AND CONTROL,197.6666667,,,
"KYNDRYL, INC.|105475737E","$156,086,268",,,,,,,,,MAYORS OFFICE FOR PEOPLE WITH DISABILITIES,174,,,
OGDEN CONST & RELIABLE ASPHALT|14905224V,"$152,655,396",,,,,,,,,OFFICE OF PUBLIC SAFETY ADMINISTRATION,152.6764706,,,
ALL CHICAGO MAKING HOMELESSNESS HISTORY|97415498V,"$152,542,265",,,,,,,,,CITY TREASURER'S OFFICE,131.3846154,,,
SAK CONSTRUCTION LLC|105516220P,"$151,761,200",,,,,,,,,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,128.99,,,
BOARD OF EDUCATION OF THE CITY OF CHICAGO|105458194X,"$150,182,472",,,,,,,,,OFFICE OF BUDGET & MANAGEMENT,118.6057692,,,
ABM AVIATION|10238400,"$141,500,000",,,,,,,,,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,110.128,,,
AOR TRANSIT|95490129L,"$141,400,000",,,,,,,,,CHICAGO COMMISSION ON HUMAN RELATIONS,24,,,
"MAT ASPHALT, LLC.|10588530","$141,254,520",,,,,,,,,OFFICE OF INSPECTOR GENERAL,16,,,
GRANITE CONSTRUCTION COMPANY.|105461011P,"$138,976,608",,,,,,,,,DEPARTMENT OF ENVIRONMENT,9,,,
"EQUITABLE SOCIAL SOLUTIONS, LLC|105487392Z","$136,289,115",,,,,,,,,DEPARTMENT OF ADMINISTRATIVE HEARINGS,5,,,
EL VALOR CORP. 01|CLEANED-UP|15834348P,"$134,199,731",,,,,,,,,FINANCE GENERAL,3,,,
MIDWAY AIRLINES' TERMINAL|31331860V,"$133,860,127",,,,,,,,,DEPT OF WATER,0,,,
CSI 3000 CONSTRUCTION JV LLC|105486144V,"$128,000,000",,,,,,,,,Grand Total,805.7562,,,
MIDWAY MANAGEMENT GROUP JV|10596274,"$122,156,864",,,,,,,,,,,,,
"PCWP, LLC|105494924X","$121,879,015",,,,,,,,,,,,,
DELL MARKETING LP.|31339925L,"$121,798,651",,,,,,,,,,,,,
ELECTRONIC KNOWLEDGE INTERCHANGE|93523759M,"$120,251,750",,,,,,,,,Financial Risk Indicators in Contracts,,,,
OGDEN AVENUE MATERIALS & RELIABLE ASPHALT JOINT VENTURE|95098631H,"$120,047,510",,,,,,,,,"Insight: Detects irregular or high-risk contracts, enabling audit prioritization and compliance monitoring.",,,,
STUDIO ORD INC|103563023L,"$120,000,000",,,,,,,,,,,,,
CCS - NU VETERANS JOINT VENTURE LLC|10618237,"$116,813,982",,,,,,,,,Zero Award Contracts,High Value Contracts,Negative Mods,,
"WILLIAM EVERETT GROUP, INC|105469914L","$116,000,000",,,,,,,,,2579,1094,80,,
ALLIED WASTE|10072807,"$115,048,656",,,,,,,,,,,,,
COMPUTER AID INC|63690225H,"$114,221,742",,,,,,,,,,,,,
GUIDEHOUSE INC.|105470231A,"$110,577,735",,,,,,,,,,,,,
K.L.E.O. COMMUNITY FAMILY LIFE CENTER|75317018T,"$110,107,478",,,,,,,,,Distribution of Contracts by Value Tier,,,,
"R. L. CANNING, INC.|105460499E","$110,000,000",,,,,,,,,"Insight: Shows whether spending is dominated by few high-value contracts or many low-value contracts, indicating financial structure.",,,,
"NEXT GENERATION, INC.|93210373X","$110,000,000",,,,,,,,,,,,,
"TRANSWESTERN COMMERCIAL SERVICES, LLC.|94044302Z","$108,506,027",,,,,,,,,Award_Category,COUNTA of Purchase Order (Contract) Number,,,
"DIAZ GROUP, LLC|71774496L","$107,239,400",,,,,,,,,Depends Upon Requirements,2579,,,
"AFTER-SCHOOL MATTERS, INC.|CLEANED-UP|72580818P","$105,303,179",,,,,,,,,Large,1094,,,
"CENTRAL LAWN SPRINKLERS, INC.|25944839A","$105,173,250",,,,,,,,,Medium,2012,,,
K.L.E.O. COMMUNITY FAMILY LIFE CENTER|CLEANED-UP|93487754Z,"$105,091,354",,,,,,,,,Negative Modification,80,,,
LAKESHORE RECYCLING SYSTEMS|105458543E,"$103,611,627",,,,,,,,,Small,4235,,,
CHICAGO YOUTH CENTERS|65101977V,"$101,156,656",,,,,,,,,Grand Total,10000,,,
"EMPLOYMENT & EMPLOYER SERVICES, INC.|99388773E","$100,392,100",,,,,,,,,,,,,
"FAVORITE HEALTHCARE STAFFING, INC.|105493889H","$100,000,000",,,,,,,,,,,,,
CNECT LLC|105462090H,"$100,000,000",,,,,,,,,,,,,
"VIVA USA, INC|50762736P","$95,000,000",,,,,,,,,,,,,
M.Q. SEWER & WATER CONTRACTORS|93441615E,"$93,574,868",,,,,,,,,Department-wise Distribution of Contracts by Value Tier,,,,
CONTINENTAL AIR TRANSPORT CHICAGO SCHOOL TRANSIT JV LLC|94659756L,"$93,153,750",,,,,,,,,"Insight: Most contracts are small in value, but financial risk is concentrated in a few large contracts",,,,
CONNECT CHICAGO ALLIANCE JV|102508277H,"$92,000,000",,,,,,,,,,,,,
BENCHMARK CONSTRUCTION CO. INC|CLEANED-UP|22360848V,"$91,014,366",,,,,,,,,COUNT of Row ID,Award_Category,,,
"AECOM TECHNICAL SERVICES, INC.|94920393E","$88,759,860",,,,,,,,,Department,Small,Medium,Large,Grand Total
"MORTON SALT, INC.|102482824Z","$88,349,808",,,,,,,,,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,998,898,181,2077
HNTB CORPORATION|6172585P,"$86,957,272",,,,,,,,,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,1702,52,7,1761
"SECURITAS SECURITY SERVICES, USA, INC.|23450705T","$86,826,344",,,,,,,,,DEPARTMENT OF PLANNING AND DEVELOPMENT,220,242,104,566
"OGDEN AVENUE MATERIALS, INC|10604451","$84,371,700",,,,,,,,,CHICAGO DEPARTMENT OF TRANSPORTATION,259,101,186,546
"LINCOLN SECURITY SERVICES, LLC.|10562930","$82,400,000",,,,,,,,,CHICAGO DEPARTMENT OF PUBLIC HEALTH,157,142,43,342
O'HARE MIDWAY MATERIALS ASSURANCE PROGRAM|10558760,"$80,000,000",,,,,,,,,CHICAGO DEPARTMENT OF AVIATION,42,102,153,297
EXP U.S. SERVICES INC.|105458311E,"$79,556,244",,,,,,,,,DEPARTMENT OF WATER MANAGEMENT,59,57,120,236
"SUTTON FORD, INC.|31316551L","$77,601,276",,,,,,,,,UNKNOWN,85,99,18,202
"AMERICAN TRAFFIC SOLUTIONS, INC.|94279136Z","$75,466,360",,,,,,,,,OFFICE OF BUDGET & MANAGEMENT,162,30,2,194
"AGILE N2N, INC|10223045","$75,000,000",,,,,,,,,DEPARTMENT OF HOUSING,143,19,4,166
ICC GROUP INC|105461888M,"$72,387,000",,,,,,,,,DEPT OF ASSETS INFORMATION AND SERVICES,27,42,66,135
MARY CRANE LEAGUE|CLEANED-UP|95467712E,"$70,503,292",,,,,,,,,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,22,58,54,134
SKYLINE MANAGEMENT GROUP O'HARE|94637052P,"$70,311,988",,,,,,,,,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,103,14,1,118
"EQUITABLE SOCIAL SOLUTIONS, LLC|10586808","$69,753,215",,,,,,,,,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,97,2,1,100
SEVEN-D CONSTRUCTION CO.|103757382X,"$69,412,990",,,,,,,,,DEPARTMENT OF TECHNOLOGY AND INNOVATION,25,17,25,67
ALEXANDER CHEMICAL CORP|93297372Z,"$69,274,000",,,,,,,,,DEPARTMENT OF FINANCE,21,14,27,62
HIGHWAY SAFETY CORPORATION.|25950810X,"$67,833,199",,,,,,,,,CHICAGO FIRE DEPARTMENT,16,21,15,52
RODERICK GROUP INC|105458955Z,"$66,850,625",,,,,,,,,CHICAGO POLICE DEPARTMENT,9,15,14,38
"ADA S. MC KINLEY COMMUNITY SERVICES, INC.|14602115A","$66,136,557",,,,,,,,,OFFICE OF PUBLIC SAFETY ADMINISTRATION,10,13,9,32
YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO|100038336P,"$66,020,555",,,,,,,,,DEPT OF FLEET MGMT,3,23,2,28
G & V CONSTRUCTION CO INC|102501520M,"$65,962,991",,,,,,,,,DEPARTMENT OF STREETS AND SANITATION,2,4,22,28
WIGHT COMPANY|33664649P,"$65,803,610",,,,,,,,,DEPARTMENT OF HUMAN RESOURCES,18,4,5,27
COLLINS ENGINEERS INC|35882066V,"$65,775,489",,,,,,,,,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,5,9,8,22
CHRISTOPHER HOUSE|99076565L,"$64,754,234",,,,,,,,,O'HARE MODERNIZATION PROGRAM,11,9,,20
CHICAGO PARK DISTRICT|87834406A,"$63,317,540",,,,,,,,,DEPARTMENT OF BUILDINGS,1,2,11,14
"RICONDO & ASSOCIATES, INC.|14892356A","$63,000,000",,,,,,,,,CITY TREASURER'S OFFICE,13,,,13
"SILK SCREEN EXPRESS, INC.|72943020L","$60,629,303",,,,,,,,,DEPARTMENT OF PROCUREMENT SERVICES,10,,1,11
MOUNT TRANSIT INC|94547537M,"$60,421,800",,,,,,,,,DEPT OF INNOVATION & TECHNOLOGY,,3,5,8
CHICAGO COMMONS ASSOCIATION 02|5042318T,"$60,130,417",,,,,,,,,DEPARTMENT OF REVENUE,,3,5,8
GRIT CHICAGO LLC|10603149,"$60,000,000",,,,,,,,,OFFICE OF THE MAYOR,6,1,,7
"COLONIAL OIL INDUSTRIES, INC.|105462195X","$60,000,000",,,,,,,,,DEPARTMENT OF LAW,,4,2,6
PATSON|93915714M,"$59,855,319",,,,,,,,,CHICAGO PUBLIC LIBRARY,2,3,1,6
"WORLDPAY HOLDING, LLC|102703543Z","$59,131,386",,,,,,,,,OFFICE OF CITY CLERK,3,2,,5
BURNS & MCDONNELL ENGINEERING CO. INC.|97246031M,"$59,000,000",,,,,,,,,DEPARTMENT OF SPECIAL EVENTS,,3,,3
"UNISON CONSULTING, INC.|9642583L","$58,640,460",,,,,,,,,CHICAGO ANIMAL CARE AND CONTROL,1,1,,2
DIVERSE FACILITY SOLUTION INC.|22105746H,"$57,800,000",,,,,,,,,PLANNING & DEVELOPMENT,,1,,1
14 PARISH LLC|105500681Z,"$57,666,631",,,,,,,,,OFFICE OF INSPECTOR GENERAL,1,,,1
14 PARISH LLC|10514773,"$57,666,631",,,,,,,,,MAYORS OFFICE FOR PEOPLE WITH DISABILITIES,,1,,1
"EJ USA, INC.|95151530M","$57,517,954",,,,,,,,,FINANCE GENERAL,,,1,1
CITY UTILITY EQUIPMENT SALES & LEASING COMPANY|95445992V,"$56,948,294",,,,,,,,,DEPT OF BUSINESS & INFORMATION SERVICES,,,1,1
MARKING SPECIALISTS CORP.|92747058T,"$56,239,224",,,,,,,,,DEPARTMENT OF ENVIRONMENT,,1,,1
UNITED ENTERPRISE|105469473Z,"$56,162,023",,,,,,,,,DEPARTMENT OF ADMINISTRATIVE HEARINGS,1,,,1
"T Y LIN INTERNATIONAL GREAT LAKES, INC|CLEANED-UP|93428368Z","$56,123,100",,,,,,,,,CHICAGO COMMISSION ON HUMAN RELATIONS,1,,,1
"ROSSI CONTRACTORS, INC.|25961167T","$56,014,666",,,,,,,,,Grand Total,4235,2012,1094,7341
BENCHMARK CONSTRUCTION CO INC & UNITED ENTERPRISE LLC JV|105508589H,"$55,904,940",,,,,,,,,,,,,
SHINING STAR YOUTH & COMMUNITY SERVICES|94304332V,"$55,853,407",,,,,,,,,,,,,
LYONS VIEW MANUFACTURER & SUPPLY|10544462,"$55,723,741",,,,,,,,,Distribution of Zero vs Non-Zero Award Contracts,,,,
RAUSCH INFRASTRUCTURE LLC|102506092P,"$55,442,496",,,,,,,,,"Insight: A notable share of contracts have zero award amounts, reflecting administrative or framework agreements rather than direct spending.",,,,
METROPOLITAN FAMILY SERVICE|102603122X,"$55,351,508",,,,,,,,,,,,,
AUSTIN POWER PARTNERS|95235454L,"$55,250,000",,,,,,,,,,,,,
TRANSYSTEMS CORPORATION|23227523Z,"$55,248,107",,,,,,,,,Is_Zero_Award,COUNT of Row ID,,,
LYONS VIEW MANUFACTURER & SUPPLY|105495758X,"$55,023,585",,,,,,,,,0,7421,,,
SLG INNOVATION INC|102497688M,"$55,000,000",,,,,,,,,1,2579,,,
RJ RELIANCE LLC|10555874,"$55,000,000",,,,,,,,,,,,,
"LION APPAREL, INC|93980761H","$54,783,997",,,,,,,,,,,,,
MUNSTER STEEL COMPANY INC|95418125V,"$52,217,160",,,,,,,,,,,,,
MILHOUSE ENGINEERING & CONSTRUCTION INC.|103928242H,"$52,085,422",,,,,,,,,,,,,
AT&T CORP|87451913H,"$50,954,206",,,,,,,,,,,,,
"CHICAGO UNITED INDUSTRIES, LIMITED|105468708E","$50,827,227",,,,,,,,,,,,,
POWER CONSTRUCTION CO. LLC|22313890Z,"$50,000,000",,,,,,,,,,,,,
"DLZ ILLINOIS, INC.|100038332E","$50,000,000",,,,,,,,,,,,,
"BRONNER GROUP, LLC.|CLEANED-UP|23186067E","$50,000,000",,,,,,,,,,,,,
CENTERS FOR NEW HORIZONS 01|15427701H,"$48,494,008",,,,,,,,,,,,,
SALVATION ARMY FAMILY & COMMUNITY SERVICES|25964717T,"$48,121,599",,,,,,,,,,,,,
"A. EPSTEIN & SONS INTERNATIONAL, INC|93278205L","$48,000,000",,,,,,,,,,,,,
"MOTOROLA SOLUTIONS CONNECTIVITY, INC|105500621V","$47,900,000",,,,,,,,,,,,,
K-FIVE CONSTRUCTION CORP./PLOTE CONSTRUCTION INC JV|102457682M,"$46,993,031",,,,,,,,,,,,,
CHICAGO COOK WORKFORCE PARTNERSHIP|102698807P,"$45,954,425",,,,,,,,,,,,,
DLT SOLUTIONS LLC|102509442P,"$45,676,309",,,,,,,,,,,,,
SEVENTY-SEVEN COMMUNITIES MEAL SERVICES LLC|10618169,"$45,635,854",,,,,,,,,,,,,
SEVENTY-SEVEN COMMUNITIES MEAL SERVICES LLC|105510180M,"$45,635,854",,,,,,,,,,,,,
AMERICAN AIRLINES 01|31288564P,"$45,002,904",,,,,,,,,,,,,
"GARTNER GROUP, INC|31286970M","$45,000,000",,,,,,,,,,,,,
CROWE LLP|102676096X,"$45,000,000",,,,,,,,,,,,,
"V3 COMPANIES, LIMITED|105469190V","$44,857,125",,,,,,,,,,,,,
ALFRED BENESCH & CO|102637610A,"$43,428,298",,,,,,,,,,,,,
DELAWARE CARS/T.R. HARMSEN CORP. J.V.|105463199M,"$43,393,073",,,,,,,,,,,,,
GADS HILL CENTER 01|15773272A,"$43,117,758",,,,,,,,,,,,,
"SKIDMORE,OWINGS & MERRILL LLP|12324627M","$43,000,000",,,,,,,,,,,,,
PLUMBING PROFESSIONALS CO|105478084V,"$42,522,595",,,,,,,,,,,,,
STANDARD PARKING-MIDWAY JV|31929767E,"$41,562,253",,,,,,,,,,,,,
CMC PARTNERS JOINT VENTURE|102498405P,"$41,500,000",,,,,,,,,,,,,
"PRIMERA ENGINEERS, LIMITED|22638829H","$40,850,625",,,,,,,,,,,,,
FRANCISCAN OUTREACH|104563435H,"$40,024,708",,,,,,,,,,,,,
"TRINITY UNITED CHURCH OF CHRIST CHILD CARE CENTERS, INC|22149777Z","$39,529,148",,,,,,,,,,,,,
ALTERNATIVE SCHOOLS NETWORK|8509307T,"$39,526,381",,,,,,,,,,,,,
HBK ENGINEERING LLC|6358850E,"$37,500,000",,,,,,,,,,,,,
CHICAGO TRANSITY AUTHORITY.|3697024T,"$37,213,938",,,,,,,,,,,,,
"UNITED ROAD TOWING, INC.|48821572M","$36,986,494",,,,,,,,,,,,,
KIMBALL DAYCARE CENTER & KINDERGARTEN INC|105458567Z,"$36,775,275",,,,,,,,,,,,,
ALLIED WASTE TRANSPORTATION INC|105467595H,"$35,136,023",,,,,,,,,,,,,
H W LOCHNER INC|95663189X,"$35,000,000",,,,,,,,,,,,,
