,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,Address 2,City,State,Zip,Award Amount,Procurement Type,Contract PDF
10,Sewer Main Lining Program - PN7589A Far North Area (IEPA),334309,0,1263401,CONSTRUCTION-LARGE $3MILLIONorABOVE,02/16/2026,02/16/2028,02/05/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,,O FALLON,MO,63366,"$33,641,230.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F003439C-0000-CB1D-BAE3-88D6F166C7BF}
11,1258161: Drains in City Right of Way Repair Program - PN7504D South Area (SBI),283904,1,1258161,CONSTRUCTION-LARGE $3MILLIONorABOVE,03/31/2025,07/21/2026,02/05/2026,DEPARTMENT OF WATER MANAGEMENT,UNITED ENTERPRISE,105469473Z,9220 OGDEN AVE,,BROOKFIELD,IL,60513,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={0086349C-0000-CF12-9D31-A84CCABEB23B}
12,1258159: Drains in City Right of Way Repair Program - PN7504C Central Area (SBI),283901,1,1258159,CONSTRUCTION-LARGE $3MILLIONorABOVE,01/29/2025,09/07/2026,02/05/2026,DEPARTMENT OF WATER MANAGEMENT,UNITED ENTERPRISE,105469473Z,9220 OGDEN AVE,,BROOKFIELD,IL,60513,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={7084349C-0000-C013-AA2D-573E38073920}
13,1258162: Drains in City Right of Way Repair Program - PN7504E Far South Area (SBI),283906,1,1258162,CONSTRUCTION-LARGE $3MILLIONorABOVE,03/26/2025,07/21/2026,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,UNITED ENTERPRISE,105469473Z,9220 OGDEN AVE,,BROOKFIELD,IL,60513,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C089349C-0000-CC19-BEE9-F32166D9425D}
14,Sewer Main Lining Program - PN7589C Central Area (IEPA),334310,0,1263404,CONSTRUCTION-LARGE $3MILLIONorABOVE,02/16/2026,02/16/2028,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,,O FALLON,MO,63366,"$33,677,375.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={8034439C-0000-C718-A5A8-6A95ECFE7101}
15,Sewer Main Lining Program - PN7589D South Area (IEPA),325902,0,1263405,CONSTRUCTION-LARGE $3MILLIONorABOVE,02/16/2026,02/16/2028,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,,O FALLON,MO,63366,"$27,487,950.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F03B439C-0000-C018-BF46-4A875E4B4832}
16,Sewer Main Lining Program - PN7589B  North Area (IEPA),325900,0,1263403,CONSTRUCTION-LARGE $3MILLIONorABOVE,02/16/2026,02/16/2028,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,,O FALLON,MO,63366,"$29,433,070.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={6005439C-0000-CE1F-A9D1-49FCB69B5928}
17,Sewer Main Lining Program - PN7589E Far South Area (IEPA),334307,0,1263407,CONSTRUCTION-LARGE $3MILLIONorABOVE,02/16/2026,02/16/2028,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,,O FALLON,MO,63366,"$27,521,575.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90DA439C-0000-C111-A10D-EF4FC50D71EA}
18,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32971,7,127930,ARCH/ENGINEERING,12/17/2015,05/30/2027,02/03/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"ROSS BARNEY ARCHITECTS, PC",105513247A,10 W HUBBARD ST FL 4TH  EFT,,CHICAGO,IL,60610-4638,"$334,104.90",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60DE439C-0000-CD1B-B3B3-F8BF90893987}
19,PROFESSIONAL BRIDGE DESIGN ENGINEERING SERVICES FOR LAKE ST. BASCULE BRIDGE OVER THE SOUTH,110520,3,298520,ARCH/ENGINEERING,01/27/2021,01/26/2028,02/03/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"AECOM TECHNICAL SERVICES, INC.",94920393E,1178 PAYSPHERE CIR,,CHICAGO,IL,60674,$0.00,RFQ,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C029249C-0000-CF1D-AE3D-3723E94D45C2}
20,1289435: Chicago Avenue River Bridge and Chicago Avenue/Halsted Street Viaduct,310789,7,1289435,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,02/03/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,"$105,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50FD249C-0000-C31F-9E48-4B7AAB1553E1}
21,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32980,9,127930,ARCH/ENGINEERING,12/03/2015,05/30/2027,02/02/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,WIGHT & COMPANY,33664649P,2500 N FRONTAGE ROAD EFT,,DARIEN,IL,60515-2992,"$409,906.50",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F00E069C-0000-CE1E-BAB6-4E9627230ADE}
22,LAKEFRONT BICYCLE TRAIL#3 OVER THE CHICAGO RIVER,84664,34,409567,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,02/02/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,GRANITE CONSTRUCTION COMPANY.,105461011P,2215 SANDERS RD # 400,,NORTHBROOK,IL,60062,"$541,442.90",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={002F249C-0000-C217-8D8E-FFBEACD829FB}
23,MASTER TASK ORDER CONTRACT TASK ORDER SERVICES DESIGN ENGINEERING FOR COMPLETE STREETS PROJECT GROUPS 1-5: PROJECT GROUP 2 AWARDED,32258,6,114941,ARCH/ENGINEERING,12/18/2015,03/02/2027,02/02/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"A. EPSTEIN & SONS INTERNATIONAL, INC",93278205L,600 W FULTON STREET EFT,,CHICAGO,IL,60661-1199,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={3091059C-0000-C31C-B35F-1F16A5BC0CFA}
24,Technical Assistance and Business Development Services for Small Local Business and M/WBE (CABD),335940,0,1340060,DELEGATE AGENCY,12/18/2025,12/17/2026,01/30/2026,DEPARTMENT OF PROCUREMENT SERVICES,CONTRACTOR ADVISORS BUSINESS DEVELOPMENT INC,95390556V,1507 E 53RD ST,,CHICAGO,IL,60615,"$20,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30C40F9C-0000-C214-879F-8EAC9D8FDEBA}
25,"MAINTENANCE, REPAIR AND PARTS ON PRESSROOM, BINDERY, PHOTOGRAPHIC EQUIPMENT AND LARGE FORMAT PRINTERS (GROUPS A & B)",61573,4,239276,WORK SERVICES / FACILITIES MAINT.,11/15/2017,11/14/2026,01/30/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,TOMPKINS PRINTING EQUIPMENT CO,31284669L,5050 N ROSE ST,,SCHILLER PARK,IL,60176,"$50,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0E11E9C-0000-C61A-8D26-1AA613F7D7AB}
26,"TRANSFERRED FROM PO 43302 (RADICOM, INC) PURCHASE, INSTALLATION AND MAINTENANCE OF E-911 EMERGENCY CALL SYSTEM FOR CHICAGO O'HARE AND MIDWAY INT'L AIRPORTS",238407,3,123746,PRO SERV-AVIATION,01/14/2023,02/28/2026,01/29/2026,CHICAGO DEPARTMENT OF AVIATION,"General Communications, Inc. (GenComm)",105497381V,,,MCHENRY,IL,60051,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10290B9C-0000-C415-933B-740D822740C7}
27,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32975,6,127930,ARCH/ENGINEERING,12/01/2015,05/30/2027,01/29/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,TERRA ENGINEERING,88068601X,225 W OHIO ST FL 4TH,,CHICAGO,IL,60654,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20092A9C-0000-C710-A338-2FEE01D90C99}
28,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32970,6,127930,ARCH/ENGINEERING,12/01/2015,05/30/2027,01/29/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"PRIMERA ENGINEERS, LIMITED",22638829H,100 S WACKER DR # 700,,CHICAGO,IL,60606,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={603E209C-0000-CD18-A156-3B513B985726}
29,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32979,6,127930,ARCH/ENGINEERING,12/17/2015,05/30/2027,01/28/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"T Y LIN INTERNATIONAL GREAT LAKES, INC|CLEANED-UP",93428368Z,200 S WACKER DRIVE EFT,,CHICAGO,IL,60606,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={9042069C-0000-C61A-B135-C768BFCE87B7}
30,"REFERENCE CONTRACT FOR HVAC PRODUCTS, INSTALLATION, SERVICES AND RELATED PRODUCTS AND SERVICES - TRANE US INC.",134953,4,1198987,WORK SERVICES / FACILITIES MAINT.,04/20/2021,04/19/2027,01/28/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,TRANE U.S. INC,98259235L,PO BOX 98167,,CHICAGO,IL,60693,"$4,278,486.50",REFERENCE CONTRACT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40682E9C-0000-C51A-BC04-C073AFB805EE}
31,Enhanced Traveler Information and Arterial Monitoring Systems - Midway Airport Area,120166,6,422806,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/28/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,ALDRIDGE ELECTRIC INC,25940976T,844 E ROCKLAND RD,,LIBERTYVILLE,IL,60048,"$17,177.20",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C064069C-0000-CB1E-BDC5-D87FB05755A0}
32,Service Reimbursement Agreement with Chicago Minority Supplier Development Council驴s Small Business Financial Advisory Clinic Specification Number # 1338816,334012,0,1338816,DELEGATE AGENCY,12/09/2025,12/08/2026,01/28/2026,DEPARTMENT OF PROCUREMENT SERVICES,CHICAGO MINORITY BUSINESS,31343225P,DEVELOPMENT COUNCIL,11 S LA SALLE ST STE 850,CHICAGO,IL,60603,"$40,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={5062069C-0000-CF14-ADE3-456442BC6EB9}
33,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32960,7,127930,ARCH/ENGINEERING,12/11/2015,05/30/2027,01/28/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,FOX & FOX ARCHITECTS LLC,98099357V,8 S MICHIGAN AVE,,CHICAGO,IL,60603,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2019069C-0000-CB16-A7B0-839B5DAE685B}
34,RECORDS STORAGE AND RELATED RECORDS MANAGEMENT SERVICES- CITY OF CHICAGO,27434,10,105939,"PRO SERV CONSULTING $250,000orABOVE",09/11/2013,10/11/2026,01/27/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"R-4 SERVICES, LLC",94141284V,1301 W 35TH STREET EFT ST,,CHICAGO,IL,60609,"$536,933.80",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={806A2E9C-0000-C51E-B270-2C33A5848A6C}
35,PROFESSIONAL SEWER CONSTRUCTION ENGINEERING SERVICES,71111,3,140827,ARCH/ENGINEERING,06/18/2018,12/14/2026,01/26/2026,DEPARTMENT OF WATER MANAGEMENT,H W LOCHNER INC,95663189X,225 W WASHINGTON STREET EFT,,CHICAGO,IL,60606,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={4073069C-0000-CE16-89DA-67CD4D521196}
36,1289435: Chicago Avenue River Bridge and Chicago Avenue/Halsted Street Viaduct,310789,6,1289435,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/26/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",94387210X,5515 N EAST RIVER ROAD EFT,,CHICAGO,IL,60656,"$60,323.30",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B010019C-0000-CF1C-9A66-8A4B968C7EB3}
37,TEMPORARY MEDICAL PERSONNEL SERVICES- PSYCHIATRISTS,79644,7,228018,"PRO SERV CONSULTING $250,000orABOVE",07/02/2019,07/30/2026,01/26/2026,CHICAGO DEPARTMENT OF PUBLIC HEALTH,LOCUMTENENS.COM,95111447Z,2655 NORTHWINDS PKWY,,ALPHARETTA,GA,30009,"$104,120.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={307A059C-0000-C518-BD79-E0861D8A88EA}
38,698793: VARIOUS WEDGE GATE VALVES (E-PROCUREMENT),107645,2,698793,COMMODITIES,09/15/2019,09/14/2027,01/26/2026,DEPARTMENT OF WATER MANAGEMENT,WATER TECHNOLOGY RESOURCES INC,95091984H,9201 E BLOOMINGTON FWY,,BLOOMINGTON,MN,55420,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={109A0A9C-0000-CE1C-97F9-DC6CAAE8F6B3}
39,"1305042: DWM JOC Civil, Structural and Architectural Disciplines",325156,0,1305042,JOC,01/15/2026,01/14/2029,01/23/2026,DEPARTMENT OF WATER MANAGEMENT,CONSTRUCTION INC,105506118Z,2 E 22ND ST,,LOMBARD,IL,60148,"$15,000,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60161F9C-0000-CF19-A4B7-C7239D25683C}
40,1212878: Grand Avenue Improvement W. Grand Avenue from N. Damen Avenue to N. Ogden Ave.,332133,0,1212878,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/22/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,,CHICAGO,IL,60639,"$13,416,586.80",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={7021E79B-0000-CA1A-8907-E0FAA1A4CF7C}
41,"1305046: DWM JOC Mechanical, Electrical and Plumbing Disciplines",325159,0,1305046,JOC,01/15/2026,01/14/2029,01/22/2026,DEPARTMENT OF WATER MANAGEMENT,CONSTRUCTION INC,105506118Z,2 E 22ND ST,,LOMBARD,IL,60148,"$15,000,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40171F9C-0000-C611-A209-81A68AC083D4}
42,1203144: Promotional Wearables and Items,162116,5,1203144,COMMODITIES,09/01/2021,08/31/2026,01/22/2026,CHICAGO POLICE DEPARTMENT,"SILK SCREEN EXPRESS, INC.",72943020L,7611 W 185TH STREET EFT,,TINLEY PARK,IL,60477,"$3,000,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20BAEC9B-0000-CB13-9116-B595417B53CC}
43,DLT Quote #5357142 for Hardware.,335125,0,450998,SOFTWARE,,,01/22/2026,DEPARTMENT OF TECHNOLOGY AND INNOVATION,DLT SOLUTIONS LLC,102509442P,ACCOUNT NUMBER:  #4451063799,PO BOX 743359,ATLANTA,GA,30374-3359,"$79,623.20",JOINT PURCHASE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C0CAE69B-0000-C819-9F2C-B95BDCBDD626}
44,DFSS-CORP-HL-INTHS:,332141,0,1293894,DELEGATE AGENCY,01/01/2026,12/31/2028,01/21/2026,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CORNERSTONE COMMUNITY OUTREACH,11986037E,939 W WILSON AVE,,CHICAGO,IL,60640,"$6,880,250.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00B7389C-0000-CF11-80DC-E17C84698D4F}
45,1183156: SEWER MAIN LINING PROGRAM - FAR SOUTH AREA (Project#7511E),132636,5,1183156,CONSTRUCTION-LARGE $3MILLIONorABOVE,08/12/2020,05/31/2026,01/20/2026,DEPARTMENT OF WATER MANAGEMENT,INLINER SOLUTIONS LLC,105509811P,5031 W 66TH ST,,BEDFORD PARK,IL,60638,"$1,437,811.90",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C066DC9B-0000-C317-8453-8AA228CCA876}
46,"NON-TARGET MARKET PLANNING NOW SERVICES- CATEGORY 2: EVALUATE REAL ESTATE, HOUSING, AND ECONOMIC DEVELOPMENT PROPOSALS, AND STUDY ECONOMIC IMPACTS; CATEGORY 3: PREPARE AND MANAGE DEVELOPMENT PROJECTS",51674,6,131663,"PRO SERV CONSULTING $250,000orABOVE",03/09/2017,12/31/2027,01/20/2026,DEPARTMENT OF PLANNING AND DEVELOPMENT,"GLOBETROTTERS ENGINEERING CORPORATION, ATTN: DAVID FELLER",3989836V,300 S WACKER DR STE 400,STE 200,CHICAGO,IL,60606,"$515,299.00",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50E8DC9B-0000-C012-B2C6-F84B9EE3563F}
47,"PARTS AND REPAIR SERVICES - MECHANICAL. MAINTENANCE, ELECTRICAL, AND BODY REPAIRS FOR CITY-OWNED AUTOMOBILES AND TRUCKS",20338,15,66458A,VEHICLES/HEAVY EQUIPMENT (CAPITAL),02/19/2010,01/12/2027,01/20/2026,DEPT OF FLEET MGMT,"B & W TRUCK REPAIR, INC",22295242L,3701 S IRON ST FL 1ST,,CHICAGO,IL,60609,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40C1E69B-0000-C614-B699-C2C3429A494F}
48,"Purchase, Parts and Maintenance of Kobus Pipes Pullers",235524,1,1276986,WORK SERVICES / FACILITIES MAINT.,07/19/2023,07/19/2027,01/20/2026,DEPARTMENT OF WATER MANAGEMENT,KOBUS INC,105492392A,2911 PASADENA BLVD  B200,,PASADENA,TX,77503,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={101FE79B-0000-CF19-B43A-4A32DD094B19}
49,TARGET MARKET PROFESSIONAL SEWER CONSTRUCTION MANAGEMENT ENGINEERING SERVICES,71241,4,140842,ARCH/ENGINEERING,07/06/2018,01/02/2027,01/20/2026,DEPARTMENT OF WATER MANAGEMENT,MILHOUSE ENGINEERING & CONSTRUCTION INC.,103928242H,333 S WABASH AVE,,CHICAGO,IL,60604,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F001069C-0000-C01C-83CD-4B770E65DD13}
50,FLAGPOLE REROPING AND REPAIR SERVICES,30544,8,92467B,WORK SERVICES / FACILITIES MAINT.,09/15/2014,09/15/2026,01/20/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,WGN FLAG & DECORATING CO 01,85240946H,7984 S SOUTH CHICAGO AVE,,CHICAGO,IL,60617,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90C6E69B-0000-C71F-A2CA-1A92ABE9FF6A}
