Row ID,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,State,Zip,Award Amount,Procurement Type,Start Date Year,End Date Year,Contract_Duration_Days,Approval_Delay_Days,Is_Zero_Award,Is_Negative_Modification,Is_High_Value,Award_Category,Vendor_Key,Revision_Count_Per_Contract
10,SEWER MAIN LINING PROGRAM - PN7589A FAR NORTH AREA (IEPA),334309,0,1263401,CONSTRUCTION-LARGE $3MILLIONORABOVE,2/16/2026,2/16/2028,02/05/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,O FALLON,MO,63366,"$33,641,230",BID,2026,2028,730,-11,0,0,1,Large,SAK CONSTRUCTION LLC|105516220P,1
11,1258161: DRAINS IN CITY RIGHT OF WAY REPAIR PROGRAM - PN7504D SOUTH AREA (SBI),283904,1,1258161,CONSTRUCTION-LARGE $3MILLIONORABOVE,3/31/2025,7/21/2026,02/05/2026,DEPARTMENT OF WATER MANAGEMENT,UNITED ENTERPRISE,105469473Z,9220 OGDEN AVE,BROOKFIELD,IL,60513,$0,BID,2025,2026,477,311,1,0,0,Depends Upon Requirements,UNITED ENTERPRISE|105469473Z,2
12,1258159: DRAINS IN CITY RIGHT OF WAY REPAIR PROGRAM - PN7504C CENTRAL AREA (SBI),283901,1,1258159,CONSTRUCTION-LARGE $3MILLIONORABOVE,1/29/2025,9/7/2026,02/05/2026,DEPARTMENT OF WATER MANAGEMENT,UNITED ENTERPRISE,105469473Z,9220 OGDEN AVE,BROOKFIELD,IL,60513,$0,BID,2025,2026,586,372,1,0,0,Depends Upon Requirements,UNITED ENTERPRISE|105469473Z,2
13,1258162: DRAINS IN CITY RIGHT OF WAY REPAIR PROGRAM - PN7504E FAR SOUTH AREA (SBI),283906,1,1258162,CONSTRUCTION-LARGE $3MILLIONORABOVE,3/26/2025,7/21/2026,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,UNITED ENTERPRISE,105469473Z,9220 OGDEN AVE,BROOKFIELD,IL,60513,$0,BID,2025,2026,482,315,1,0,0,Depends Upon Requirements,UNITED ENTERPRISE|105469473Z,2
14,SEWER MAIN LINING PROGRAM - PN7589C CENTRAL AREA (IEPA),334310,0,1263404,CONSTRUCTION-LARGE $3MILLIONORABOVE,2/16/2026,2/16/2028,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,O FALLON,MO,63366,"$33,677,375",BID,2026,2028,730,-12,0,0,1,Large,SAK CONSTRUCTION LLC|105516220P,1
15,SEWER MAIN LINING PROGRAM - PN7589D SOUTH AREA (IEPA),325902,0,1263405,CONSTRUCTION-LARGE $3MILLIONORABOVE,2/16/2026,2/16/2028,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,O FALLON,MO,63366,"$27,487,950",BID,2026,2028,730,-12,0,0,1,Large,SAK CONSTRUCTION LLC|105516220P,1
16,SEWER MAIN LINING PROGRAM - PN7589B  NORTH AREA (IEPA),325900,0,1263403,CONSTRUCTION-LARGE $3MILLIONORABOVE,2/16/2026,2/16/2028,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,O FALLON,MO,63366,"$29,433,070",BID,2026,2028,730,-12,0,0,1,Large,SAK CONSTRUCTION LLC|105516220P,1
17,SEWER MAIN LINING PROGRAM - PN7589E FAR SOUTH AREA (IEPA),334307,0,1263407,CONSTRUCTION-LARGE $3MILLIONORABOVE,2/16/2026,2/16/2028,02/04/2026,DEPARTMENT OF WATER MANAGEMENT,SAK CONSTRUCTION LLC,105516220P,864 HOFF RD,O FALLON,MO,63366,"$27,521,575",BID,2026,2028,730,-12,0,0,1,Large,SAK CONSTRUCTION LLC|105516220P,1
18,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32971,7,127930,ARCH/ENGINEERING,12/17/2015,5/30/2027,02/03/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"ROSS BARNEY ARCHITECTS, PC",105513247A,10 W HUBBARD ST FL 4TH EFT,CHICAGO,IL,60610-4638,"$334,105",MASTER AGREEMENT,2015,2027,4182,3701,0,0,1,Large,"ROSS BARNEY ARCHITECTS, PC|105513247A",5
19,PROFESSIONAL BRIDGE DESIGN ENGINEERING SERVICES FOR LAKE ST. BASCULE BRIDGE OVER THE SOUTH,110520,3,298520,ARCH/ENGINEERING,1/27/2021,1/26/2028,02/03/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"AECOM TECHNICAL SERVICES, INC.",94920393E,1178 PAYSPHERE CIR,CHICAGO,IL,60674,$0,RFQ,2021,2028,2555,1833,1,0,0,Depends Upon Requirements,"AECOM TECHNICAL SERVICES, INC.|94920393E",2
20,1289435: CHICAGO AVENUE RIVER BRIDGE AND CHICAGO AVENUE/HALSTED STREET VIADUCT,310789,7,1289435,CONSTRUCTION-LARGE $3MILLIONORABOVE,2/3/2026,2/3/2026,02/03/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX 2356,CHICAGO,IL,60656,"$105,000",BID,2026,2026,0,0,0,0,1,Large,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC|102903767L",8
21,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32980,9,127930,ARCH/ENGINEERING,12/3/2015,5/30/2027,02/02/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,WIGHT & COMPANY,33664649P,2500 N FRONTAGE ROAD EFT,DARIEN,IL,60515-2992,"$409,907",MASTER AGREEMENT,2015,2027,4196,3714,0,0,1,Large,WIGHT & COMPANY|33664649P,4
22,LAKEFRONT BICYCLE TRAIL#3 OVER THE CHICAGO RIVER,84664,34,409567,CONSTRUCTION-LARGE $3MILLIONORABOVE,2/2/2026,2/2/2026,02/02/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,GRANITE CONSTRUCTION COMPANY.,105461011P,2215 SANDERS RD # 400,NORTHBROOK,IL,60062,"$541,443",BID,2026,2026,0,0,0,0,1,Large,GRANITE CONSTRUCTION COMPANY.|105461011P,6
23,MASTER TASK ORDER CONTRACT TASK ORDER SERVICES DESIGN ENGINEERING FOR COMPLETE STREETS PROJECT GROUPS 1-5: PROJECT GROUP 2 AWARDED,32258,6,114941,ARCH/ENGINEERING,12/18/2015,3/2/2027,02/02/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"A. EPSTEIN & SONS INTERNATIONAL, INC",93278205L,600 W FULTON STREET EFT,CHICAGO,IL,60661-1199,$0,MASTER AGREEMENT,2015,2027,4092,3699,1,0,0,Depends Upon Requirements,"A. EPSTEIN & SONS INTERNATIONAL, INC|93278205L",5
24,TECHNICAL ASSISTANCE AND BUSINESS DEVELOPMENT SERVICES FOR SMALL LOCAL BUSINESS AND M/WBE (CABD),335940,0,1340060,DELEGATE AGENCY,12/18/2025,12/17/2026,01/30/2026,DEPARTMENT OF PROCUREMENT SERVICES,CONTRACTOR ADVISORS BUSINESS DEVELOPMENT INC,95390556V,1507 E 53RD ST,CHICAGO,IL,60615,"$20,000",UNKNOWN,2025,2026,364,43,0,0,0,Medium,CONTRACTOR ADVISORS BUSINESS DEVELOPMENT INC|95390556V,1
25,"MAINTENANCE, REPAIR AND PARTS ON PRESSROOM, BINDERY, PHOTOGRAPHIC EQUIPMENT AND LARGE FORMAT PRINTERS (GROUPS A & B)",61573,4,239276,WORK SERVICES / FACILITIES MAINT.,11/15/2017,11/14/2026,01/30/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,TOMPKINS PRINTING EQUIPMENT CO,31284669L,5050 N ROSE ST,SCHILLER PARK,IL,60176,"$50,000",BID,2017,2026,3286,2998,0,0,0,Medium,TOMPKINS PRINTING EQUIPMENT CO|31284669L,3
26,"TRANSFERRED FROM PO 43302 (RADICOM, INC) PURCHASE, INSTALLATION AND MAINTENANCE OF E-911 EMERGENCY CALL SYSTEM FOR CHICAGO O'HARE AND MIDWAY INT'L AIRPORTS",238407,3,123746,PRO SERV-AVIATION,1/14/2023,2/28/2026,01/29/2026,CHICAGO DEPARTMENT OF AVIATION,"GENERAL COMMUNICATIONS, INC. (GENCOMM)",105497381V,ADDRESS NOT PROVIDED,MCHENRY,IL,60051,$0,UNKNOWN,2023,2026,1141,1111,1,0,0,Depends Upon Requirements,"GENERAL COMMUNICATIONS, INC. (GENCOMM)|105497381V",4
27,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32975,6,127930,ARCH/ENGINEERING,12/1/2015,5/30/2027,01/29/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,TERRA ENGINEERING,88068601X,225 W OHIO ST FL 4TH,CHICAGO,IL,60654,$0,MASTER AGREEMENT,2015,2027,4198,3712,1,0,0,Depends Upon Requirements,TERRA ENGINEERING|88068601X,3
28,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32970,6,127930,ARCH/ENGINEERING,12/1/2015,5/30/2027,01/29/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"PRIMERA ENGINEERS, LIMITED",22638829H,100 S WACKER DR # 700,CHICAGO,IL,60606,$0,MASTER AGREEMENT,2015,2027,4198,3712,1,0,0,Depends Upon Requirements,"PRIMERA ENGINEERS, LIMITED|22638829H",4
29,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32979,6,127930,ARCH/ENGINEERING,12/17/2015,5/30/2027,01/28/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"T Y LIN INTERNATIONAL GREAT LAKES, INC|CLEANED-UP",93428368Z,200 S WACKER DRIVE EFT,CHICAGO,IL,60606,$0,MASTER AGREEMENT,2015,2027,4182,3695,1,0,0,Depends Upon Requirements,"T Y LIN INTERNATIONAL GREAT LAKES, INC|CLEANED-UP|93428368Z",3
30,"REFERENCE CONTRACT FOR HVAC PRODUCTS, INSTALLATION, SERVICES AND RELATED PRODUCTS AND SERVICES - TRANE US INC.",134953,4,1198987,WORK SERVICES / FACILITIES MAINT.,4/20/2021,4/19/2027,01/28/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,TRANE U.S. INC,98259235L,PO BOX 98167,CHICAGO,IL,60693,"$4,278,487",REFERENCE CONTRACT,2021,2027,2190,1744,0,0,1,Large,TRANE U.S. INC|98259235L,3
31,ENHANCED TRAVELER INFORMATION AND ARTERIAL MONITORING SYSTEMS - MIDWAY AIRPORT AREA,120166,6,422806,CONSTRUCTION-LARGE $3MILLIONORABOVE,1/28/2026,1/28/2026,01/28/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,ALDRIDGE ELECTRIC INC,25940976T,844 E ROCKLAND RD,LIBERTYVILLE,IL,60048,"$17,177",BID,2026,2026,0,0,0,0,0,Medium,ALDRIDGE ELECTRIC INC|25940976T,5
32,SERVICE REIMBURSEMENT AGREEMENT WITH CHICAGO MINORITY SUPPLIER DEVELOPMENT COUNCIL驴S SMALL BUSINESS FINANCIAL ADVISORY CLINIC SPECIFICATION NUMBER # 1338816,334012,0,1338816,DELEGATE AGENCY,12/9/2025,12/8/2026,01/28/2026,DEPARTMENT OF PROCUREMENT SERVICES,CHICAGO MINORITY BUSINESS,31343225P,DEVELOPMENT COUNCIL,CHICAGO,IL,60603,"$40,000",UNKNOWN,2025,2026,364,50,0,0,0,Medium,CHICAGO MINORITY BUSINESS|31343225P,1
33,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32960,7,127930,ARCH/ENGINEERING,12/11/2015,5/30/2027,01/28/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,FOX & FOX ARCHITECTS LLC,98099357V,8 S MICHIGAN AVE,CHICAGO,IL,60603,$0,MASTER AGREEMENT,2015,2027,4188,3701,1,0,0,Depends Upon Requirements,FOX & FOX ARCHITECTS LLC|98099357V,4
34,RECORDS STORAGE AND RELATED RECORDS MANAGEMENT SERVICES- CITY OF CHICAGO,27434,10,105939,"PRO SERV CONSULTING $250,000ORABOVE",9/11/2013,10/11/2026,01/27/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"R-4 SERVICES, LLC",94141284V,1301 W 35TH STREET EFT ST,CHICAGO,IL,60609,"$536,934",RFP,2013,2026,4778,4521,0,0,1,Large,"R-4 SERVICES, LLC|94141284V",6
35,PROFESSIONAL SEWER CONSTRUCTION ENGINEERING SERVICES,71111,3,140827,ARCH/ENGINEERING,6/18/2018,12/14/2026,01/26/2026,DEPARTMENT OF WATER MANAGEMENT,H W LOCHNER INC,95663189X,225 W WASHINGTON STREET EFT,CHICAGO,IL,60606,$0,MASTER AGREEMENT,2018,2026,3101,2779,1,0,0,Depends Upon Requirements,H W LOCHNER INC|95663189X,2
36,1289435: CHICAGO AVENUE RIVER BRIDGE AND CHICAGO AVENUE/HALSTED STREET VIADUCT,310789,6,1289435,CONSTRUCTION-LARGE $3MILLIONORABOVE,1/26/2026,1/26/2026,01/26/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",94387210X,5515 N EAST RIVER ROAD EFT,CHICAGO,IL,60656,"$60,323",BID,2026,2026,0,0,0,0,0,Medium,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC|94387210X",8
37,TEMPORARY MEDICAL PERSONNEL SERVICES- PSYCHIATRISTS,79644,7,228018,"PRO SERV CONSULTING $250,000ORABOVE",7/2/2019,7/30/2026,01/26/2026,CHICAGO DEPARTMENT OF PUBLIC HEALTH,LOCUMTENENS.COM,95111447Z,2655 NORTHWINDS PKWY,ALPHARETTA,GA,30009,"$104,120",RFP,2019,2026,2585,2400,0,0,1,Large,LOCUMTENENS.COM|95111447Z,5
38,698793: VARIOUS WEDGE GATE VALVES (E-PROCUREMENT),107645,2,698793,COMMODITIES,9/15/2019,9/14/2027,01/26/2026,DEPARTMENT OF WATER MANAGEMENT,WATER TECHNOLOGY RESOURCES INC,95091984H,9201 E BLOOMINGTON FWY,BLOOMINGTON,MN,55420,$0,BID,2019,2027,2921,2325,1,0,0,Depends Upon Requirements,WATER TECHNOLOGY RESOURCES INC|95091984H,2
39,"1305042: DWM JOC CIVIL, STRUCTURAL AND ARCHITECTURAL DISCIPLINES",325156,0,1305042,JOC,1/15/2026,1/14/2029,01/23/2026,DEPARTMENT OF WATER MANAGEMENT,CONSTRUCTION INC,105506118Z,2 E 22ND ST,LOMBARD,IL,60148,"$15,000,000",BID,2026,2029,1095,8,0,0,1,Large,CONSTRUCTION INC|105506118Z,1
40,1212878: GRAND AVENUE IMPROVEMENT W. GRAND AVENUE FROM N. DAMEN AVENUE TO N. OGDEN AVE.,332133,0,1212878,CONSTRUCTION-LARGE $3MILLIONORABOVE,1/22/2026,1/22/2026,01/22/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$13,416,587",BID,2026,2026,0,0,0,0,1,Large,"SUMIT CONSTRUCTION CO., INC.|21973746A",1
41,"1305046: DWM JOC MECHANICAL, ELECTRICAL AND PLUMBING DISCIPLINES",325159,0,1305046,JOC,1/15/2026,1/14/2029,01/22/2026,DEPARTMENT OF WATER MANAGEMENT,CONSTRUCTION INC,105506118Z,2 E 22ND ST,LOMBARD,IL,60148,"$15,000,000",BID,2026,2029,1095,7,0,0,1,Large,CONSTRUCTION INC|105506118Z,1
42,1203144: PROMOTIONAL WEARABLES AND ITEMS,162116,5,1203144,COMMODITIES,9/1/2021,8/31/2026,01/22/2026,CHICAGO POLICE DEPARTMENT,"SILK SCREEN EXPRESS, INC.",72943020L,7611 W 185TH STREET EFT,TINLEY PARK,IL,60477,"$3,000,000",BID,2021,2026,1825,1604,0,0,1,Large,"SILK SCREEN EXPRESS, INC.|72943020L",3
43,DLT QUOTE #5357142 FOR HARDWARE.,335125,0,450998,SOFTWARE,1/22/2026,1/22/2026,01/22/2026,DEPARTMENT OF TECHNOLOGY AND INNOVATION,DLT SOLUTIONS LLC,102509442P,ACCOUNT NUMBER: #4451063799,ATLANTA,GA,30374-3359,"$79,623",JOINT PURCHASE,2026,2026,0,0,0,0,0,Medium,DLT SOLUTIONS LLC|102509442P,1
44,DFSS-CORP-HL-INTHS:,332141,0,1293894,DELEGATE AGENCY,1/1/2026,12/31/2028,01/21/2026,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CORNERSTONE COMMUNITY OUTREACH,11986037E,939 W WILSON AVE,CHICAGO,IL,60640,"$6,880,250",UNKNOWN,2026,2028,1095,20,0,0,1,Large,CORNERSTONE COMMUNITY OUTREACH|11986037E,1
45,1183156: SEWER MAIN LINING PROGRAM - FAR SOUTH AREA (PROJECT#7511E),132636,5,1183156,CONSTRUCTION-LARGE $3MILLIONORABOVE,8/12/2020,5/31/2026,01/20/2026,DEPARTMENT OF WATER MANAGEMENT,INLINER SOLUTIONS LLC,105509811P,5031 W 66TH ST,BEDFORD PARK,IL,60638,"$1,437,812",BID,2020,2026,2118,1987,0,0,1,Large,INLINER SOLUTIONS LLC|105509811P,4
46,"NON-TARGET MARKET PLANNING NOW SERVICES- CATEGORY 2: EVALUATE REAL ESTATE, HOUSING, AND ECONOMIC DEVELOPMENT PROPOSALS, AND STUDY ECONOMIC IMPACTS; CATEGORY 3: PREPARE AND MANAGE DEVELOPMENT PROJECTS",51674,6,131663,"PRO SERV CONSULTING $250,000ORABOVE",3/9/2017,12/31/2027,01/20/2026,DEPARTMENT OF PLANNING AND DEVELOPMENT,"GLOBETROTTERS ENGINEERING CORPORATION, ATTN: DAVID FELLER",3989836V,300 S WACKER DR STE 400,CHICAGO,IL,60606,"$515,299",MASTER AGREEMENT,2017,2027,3949,3239,0,0,1,Large,"GLOBETROTTERS ENGINEERING CORPORATION, ATTN: DAVID FELLER|3989836V",4
47,"PARTS AND REPAIR SERVICES - MECHANICAL. MAINTENANCE, ELECTRICAL, AND BODY REPAIRS FOR CITY-OWNED AUTOMOBILES AND TRUCKS",20338,15,66458A,VEHICLES/HEAVY EQUIPMENT (CAPITAL),2/19/2010,1/12/2027,01/20/2026,DEPT OF FLEET MGMT,"B & W TRUCK REPAIR, INC",22295242L,3701 S IRON ST FL 1ST,CHICAGO,IL,60609,$0,BID,2010,2027,6171,5814,1,0,0,Depends Upon Requirements,"B & W TRUCK REPAIR, INC|22295242L",5
48,"PURCHASE, PARTS AND MAINTENANCE OF KOBUS PIPES PULLERS",235524,1,1276986,WORK SERVICES / FACILITIES MAINT.,7/19/2023,7/19/2027,01/20/2026,DEPARTMENT OF WATER MANAGEMENT,KOBUS INC,105492392A,2911 PASADENA BLVD B200,PASADENA,TX,77503,$0,BID,2023,2027,1461,916,1,0,0,Depends Upon Requirements,KOBUS INC|105492392A,2
49,TARGET MARKET PROFESSIONAL SEWER CONSTRUCTION MANAGEMENT ENGINEERING SERVICES,71241,4,140842,ARCH/ENGINEERING,7/6/2018,1/2/2027,01/20/2026,DEPARTMENT OF WATER MANAGEMENT,MILHOUSE ENGINEERING & CONSTRUCTION INC.,103928242H,333 S WABASH AVE,CHICAGO,IL,60604,$0,MASTER AGREEMENT,2018,2027,3102,2755,1,0,0,Depends Upon Requirements,MILHOUSE ENGINEERING & CONSTRUCTION INC.|103928242H,3
50,FLAGPOLE REROPING AND REPAIR SERVICES,30544,8,92467B,WORK SERVICES / FACILITIES MAINT.,9/15/2014,9/15/2026,01/20/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,WGN FLAG & DECORATING CO 01,85240946H,7984 S SOUTH CHICAGO AVE,CHICAGO,IL,60617,$0,BID,2014,2026,4383,4145,1,0,0,Depends Upon Requirements,WGN FLAG & DECORATING CO 01|85240946H,5
51,995503: DIESEL EXHAUST FLUID,136731,5,995503,COMMODITIES,10/1/2020,3/30/2027,01/20/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,VALDES LLC,102457371X,667 CHADDICK DRIVE,WHEELING,IL,60090,$0,BID,2020,2027,2371,1937,1,0,0,Depends Upon Requirements,VALDES LLC|102457371X,2
52,DESIGN CONSULTING SERVICES - TARGET MARKET,37879,5,132366,ARCH/ENGINEERING,7/1/2016,12/29/2026,01/16/2026,DEPARTMENT OF WATER MANAGEMENT,DELTA ENGINEERING GROUP LLC,93568965M,111 W JACKSON BLVD STE 910,CHICAGO,IL,60604,$0,MASTER AGREEMENT,2016,2026,3833,3486,1,0,0,Depends Upon Requirements,DELTA ENGINEERING GROUP LLC|93568965M,4
53,SEE PO #32968 ON THE DPS WEB FOR CONTRACT CONTENT. MULLER & MULLER LTD TO GANNETT FLEMING ARCHITECTS: MCA FOR PROFESSIONAL ARCHITECTURAL AND DESIGN SERVICES,308369,2,127930,ARCH/ENGINEERING,5/1/2025,5/30/2027,01/16/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"GANNETT FLEMING ARCHITECTS, INC.",105509498M,180 N STETSON AVNUE TWO PRUDENTIAL PLZ STE 3700,CHICAGO,IL,60601,$0,CONTRACT ASSIGNMENT/TRANS,2025,2027,759,260,1,0,0,Depends Upon Requirements,"GANNETT FLEMING ARCHITECTS, INC.|105509498M",3
54,DFSS-IDHS-HL-INTHS:,247894,7,1235949,DELEGATE AGENCY,11/1/2023,4/30/2026,01/15/2026,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,INNER VOICE INC.,6231926M,1621 W WALNUT ST FL 1ST,CHICAGO,IL,60612,"$16,512",UNKNOWN,2023,2026,911,806,0,0,0,Medium,INNER VOICE INC.|6231926M,6
